Wavelength (nm),alina_aged_oil_BHT_0_8,alina_fresh_oil,alina_fresh_oil_BHT_0_8,alina_aged_oil_BHT_0_8_t_28_55,alina_aged_oil_BHT_0_8_t_31_25,alina_aged_oil_BHT_0_8_t_32_15,alina_aged_oil_BHT_0_8_t_37_25,alina_aged_oil_BHT_0_8_t_44_5,alina_aged_oil_BHT_0_8_t_50,alina_aged_oil_BHT_0_8_t_59
362.0,0.5188641056549143,0.8224954749170669,0.8239138212821465,0.6162926832265693,0.5362280543192601,0.5469755495326347,0.5065031849008387,0.5895632026817955,0.5150088043590614,0.6113819781914677
363.0,0.5675915747740008,0.8190199355439717,0.8205817802719062,0.5978470082963508,0.544896075624913,0.5813919922778366,0.5305980298648193,0.5867216205833463,0.5604167167933122,0.6115045535153467
364.0,0.5973433595019143,0.8342970496058095,0.8227353764589376,0.6015615747055132,0.5276219489422501,0.6186884079528591,0.5389745240905497,0.5732579665063059,0.5846936657606258,0.6070485443024457
365.0,0.5914144070584093,0.8177216620584289,0.785766705361294,0.564998771717032,0.5138464169122243,0.6069551614843498,0.5065234394165047,0.578675450482838,0.5972923225991051,0.5722387716738441
366.0,0.5620815857812121,0.8048438054036785,0.7549043823813291,0.500053068381605,0.4931651454604593,0.5966835986026515,0.462766007186265,0.5638618910188368,0.576047744162952,0.5433438286329417
367.0,0.5640329838717603,0.7842311235093908,0.7156517132157215,0.4451182128407142,0.4818202696565993,0.58041285878992,0.4523574164496884,0.5677911334185027,0.5550889454639161,0.49100335407270684
368.0,0.531024001483517,0.7478451799312092,0.6678426662820295,0.424429052064886,0.4528451356999019,0.5457690539445998,0.43947318290707943,0.5426620190364816,0.5253959932426664,0.48278071507095605
369.0,0.5046787075193659,0.7079739139366639,0.6473282782099642,0.3752116000662329,0.4321339572469755,0.5426215666845685,0.40896323671109736,0.5074288281090525,0.49253306910009675,0.46259713773110395
370.0,0.4696659141828039,0.6576007078182802,0.5993902512691223,0.37485265570857573,0.42894214712585266,0.5243695311693457,0.4011959233378294,0.44731836022737603,0.5045548141098768,0.4418814040423664
371.0,0.41362126795377474,0.6073322291193382,0.6365418666750675,0.3453712079151014,0.3967799798654131,0.510124373253756,0.3952015699229557,0.39964901380364354,0.4640867028508893,0.3819824184441712
372.0,0.3732133524709747,0.5690667669572854,0.6624316008076959,0.3663349162354209,0.37962569350091613,0.5083477445029325,0.37634700051920267,0.387275682315592,0.46782027930011494,0.3722740365661808
373.0,0.3112230736851991,0.5290615878311433,0.7087825324156897,0.36933170763622125,0.34672531297885617,0.48925705111360795,0.34350855963799365,0.3719707234407585,0.4748963284453675,0.407582074027975
374.0,0.24698089112010385,0.5241788293979068,0.7407988694595988,0.3556297131605233,0.3176639151821349,0.4694500141675062,0.33160865243785775,0.34450500403245166,0.44664885663737275,0.398852711033721
375.0,0.20709675617818243,0.5157628111643217,0.7575120810551381,0.3389199128740834,0.2835403856496647,0.4188843598554201,0.27427090741085874,0.3244209717845963,0.41488434033390786,0.3856740388316822
376.0,0.2056614407263903,0.4681850665425931,0.7227447796990523,0.32779671728313653,0.2806198523046155,0.35551066956712163,0.25725909393551144,0.2965192581703915,0.39995149263358465,0.3370042474050216
377.0,0.19408107165675065,0.4503544687167199,0.7032376179914528,0.2881598389335135,0.2776807664914841,0.334345984676776,0.2316335741134083,0.26579864920383306,0.3803634167823627,0.3021525598174348
378.0,0.17293261312809008,0.41240961942861015,0.658076753319305,0.2473088776614607,0.23613925593923477,0.30680777925229,0.18209086698978572,0.2515725966567164,0.34690382784115753,0.21733519422282832
379.0,0.1158654497764113,0.3747346297742705,0.5169162190825705,0.1867675941771013,0.17992806531189703,0.25733099112858565,0.14436456378664617,0.24426835659375065,0.3130423551557443,0.17983357835859975
380.0,0.0922805723153685,0.3455279556037982,0.3973179322392443,0.16404791382165962,0.12948940174845847,0.24403678578635546,0.09977185046855089,0.23265138849810368,0.27232315988780953,0.17376963381883204
